rang,ime,leto,opis,ocena_strani,povprecna_ocena,stevilo_glasov
1,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.414,8.59,47473
2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.376,8.52,54001
3,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.346,8.58,62863
4,Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",8.338,8.54,45614
5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.238,8.59,24348
6,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",8.231,8.43,47297
7,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.208,8.36,100816
8,War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,8.189,8.54,21847
9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.17,8.42,33003
10,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.155,8.43,35171
11,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.144,8.34,53016
12,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.11,8.37,27669
13,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.066,8.24,49205
14,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.052,8.28,32081
15,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.02,8.19,41266
16,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.016,8.14,63140
17,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",7.986,8.14,84749
18,Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.979,8.45,14091
19,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.97,8.09,96361
20,Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,7.963,8.2,25226
21,Nemesis,2018,"Survive an alien-infested spaceship, but beware of other players and their agendas!",7.954,8.27,31381
22,Clank! Legacy: Acquisitions Incorporated,2019,"&quot;Go forth, be bold, and ACQUIRE!&quot; in this campaign version of &quot;Clank!&quot;",7.947,8.53,9639
23,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.943,8.17,29112
24,Concordia,2013,Merchants build and trade throughout the Roman Empire to please the Gods.,7.941,8.09,41063
25,Frosthaven,2022,Adventure in the frozen north and build up your outpost throughout an epic campaign.,7.906,8.82,7340
26,Great Western Trail: Second Edition,2021,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,7.905,8.33,13369
27,Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,7.9,8.13,43723
28,Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,7.896,8.07,45598
29,Terra Mystica,2012,Play fantastical factions. Expand your influence by terraforming and joining cults.,7.892,8.06,48386
30,Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife preserve.,7.891,8.04,95574
31,Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.883,8.07,52875
32,Orléans,2014,"Craftsmen, scholars &amp; monks can help you reign supreme—but who will turn up to help?",7.872,8.06,31868
33,Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.87,8.34,13896
34,Mage Knight Board Game,2011,"Build your hero’s spells, abilities, and artifacts as you explore &amp; conquer cities.",7.853,8.08,33542
35,Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.849,8.16,18218
36,Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,7.844,8.02,56323
37,The Crew: Mission Deep Sea,2021,Dive into the deep sea in this co-operative trick-taking game with variable missions.,7.842,8.14,18569
38,Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you&#039;ve inherited.,7.836,7.99,49513
39,Dune: Imperium – Uprising,2023,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",7.801,8.74,6220
